savings,wz240833,Anna Gomez,7460.18
checking,hr108256,Anna Gomez,923.02
savings,hr676528,Anna Rodriguez,7238.16
checking,tx835396,Anna Rodriguez,1555.99
savings,mi131700,Anna Hernandez,8187.15
checking,fu854050,Anna Hernandez,2453.76
savings,up612655,Anna Tan,8145.39
checking,ya677058,Anna Tan,34.69
savings,jd235801,Anna Yang,7454.20
checking,yl434099,Anna Yang,3585.69
savings,wt710579,Anna Smith,8211.69
checking,bt445644,Anna Smith,606.88
savings,qq260786,Anna Jones,6034.86
checking,hu872967,Anna Jones,2574.69
savings,gn184256,Anna Lee,7317.66
checking,wn924632,Anna Lee,3562.69
savings,jb675667,Anna Schmidt,7759.76
checking,ns925478,Anna Schmidt,2831.03
savings,zd994406,Anna DeAndre,8352.59
checking,yb115587,Anna DeAndre,335.15
savings,vi430538,Anna Carpenter,8177.41
checking,kc402077,Anna Carpenter,1617.20
savings,ip228387,Anna Alvarez,9271.69
checking,ss597466,Anna Alvarez,63.16
savings,yh607238,Anna Wilson,7765.72
checking,fa371776,Anna Wilson,1683.66
savings,bq779016,Anna Miller,4755.21
checking,eh661072,Anna Miller,1799.47
savings,ux839899,Barbara Gomez,5821.28
checking,rh120800,Barbara Gomez,1293.60
savings,mr771695,Barbara Rodriguez,5728.55
checking,sm445325,Barbara Rodriguez,1092.26
savings,jp389006,Barbara Hernandez,4920.08
checking,rs599476,Barbara Hernandez,241.25
savings,hu247682,Barbara Tan,7794.51
checking,sd786473,Barbara Tan,1194.44
savings,qb235683,Barbara Yang,6957.13
checking,nn815052,Barbara Yang,946.34
savings,pr470955,Barbara Smith,6061.28
checking,xu926691,Barbara Smith,2502.07
savings,kw843649,Barbara Jones,3660.99
checking,cr467080,Barbara Jones,2173.15
savings,lm253103,Barbara Lee,7050.62
checking,ke228476,Barbara Lee,517.14
savings,xv821681,Barbara Schmidt,9468.34
checking,yc500519,Barbara Schmidt,3216.34
savings,so374484,Barbara DeAndre,6911.06
checking,dc766094,Barbara DeAndre,1815.69
savings,te868782,Barbara Carpenter,4807.21
checking,ay738242,Barbara Carpenter,3576.81
savings,md866677,Barbara Alvarez,8642.47
checking,wl434224,Barbara Alvarez,2203.46
savings,qy320156,Barbara Wilson,4784.26
checking,vy365449,Barbara Wilson,1659.83
